Dec 26 18:49:26.482 ERRO Installing wasm-bindgen with cargo
Dec 27 23:48:16.849 ERRO Compiling your crate to WebAssembly
Dec 28 00:28:50.266 ERRO Compiling your crate to WebAssembly
Dec 28 00:29:33.046 ERRO Compiling your crate to WebAssembly
Dec 28 00:31:03.443 ERRO Compiling your crate to WebAssembly
Dec 28 00:44:58.230 ERRO Compiling your crate to WebAssembly
Dec 28 01:19:11.445 ERRO Compiling your crate to WebAssembly
Dec 28 02:53:05.211 ERRO Compiling your crate to WebAssembly
Dec 28 02:54:19.697 ERRO Compiling your crate to WebAssembly
Dec 28 13:40:12.181 ERRO Compiling your crate to WebAssembly
Dec 28 13:41:02.585 ERRO Compiling your crate to WebAssembly
Dec 28 13:49:50.636 ERRO Compiling your crate to WebAssembly
Dec 28 14:05:58.765 ERRO Compiling your crate to WebAssembly
Dec 28 14:06:29.978 ERRO Compiling your crate to WebAssembly
Dec 28 14:07:14.828 ERRO Compiling your crate to WebAssembly
Dec 28 14:12:55.912 ERRO Compiling your crate to WebAssembly
Dec 28 14:13:31.799 ERRO Compiling your crate to WebAssembly
